Exercise,Difficulty Level,Primary Equipment,Prime Mover Muscle,Secondary Muscle,Body Region
Double Dumbbell Suitcase Alternating Forward Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Suitcase Alternating Reverse Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Indian Club Overhead Arm Circles,Novice,Indian Club,Lateral Deltoids,,Upper Body
Double Dumbbell Suitcase Split Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Front Rack Alternating Step Up,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Face the Wall Squat,Beginner,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Feet Elevated Glute Bridge,Novice,Bodyweight,Gluteus Maximus,Biceps Femoris,Lower Body
Slider Single Arm Kettlebell Bottoms Up Front Rack Contralateral Reverse Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Reverse Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Kettlebell Overhead Contralateral Reverse Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Kettlebell Overhead Ipsilateral Reverse Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Kettlebell Bottoms Up Overhead Contralateral Reverse Lunge,Advanced,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Reverse Lunge,Advanced,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Kettlebell Goblet Reverse Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Miniband Thigh Monster Walk,Beginner,Miniband,Gluteus Medius,Gluteus Minimus,Lower Body
Bodyweight Quadruped Hip Extension,Beginner,Bodyweight,Gluteus Maximus,,Lower Body
Suspension Pistol Squat,Intermediate,Suspension Trainer,Quadriceps Femoris,Gluteus Maximus,Lower Body
Suspension Skater Squat,Novice,Suspension Trainer,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Tuck Jump,Novice,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Alternating Single Leg Wall Sit,Novice,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Single Leg Romanian Deadlift Jump,Intermediate,Bodyweight,Biceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Overhead Walking Lunge,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Stability Ball Double Dumbbell Suitcase Bulgarian Split Squat,Intermediate,Stability Ball,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Reverse Nordic,Intermediate,Bodyweight,Quadriceps Femoris,,Lower Body
Bodyweight Alternating Lateral Bench Jump,Novice,Bodyweight,Gluteus Maximus,,Lower Body
Single Arm Dumbbell Front Rack Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Skater Jump,Intermediate,Bodyweight,Gluteus Medius,Quadriceps Femoris,Lower Body
Slider Single Arm Dumbbell Front Rack Contralateral Reverse Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Cable Prone Bench Hamstring Curl,Novice,Cable,Biceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Bulgarian Split Squat Jump,Intermediate,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Cable Standing Single Leg Hamstring Curl,Novice,Cable,Biceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Nordic Hamstring Curl,Advanced,Bodyweight,Biceps Femoris,Gluteus Maximus,Lower Body
Superband Assisted Pistol Squat,Intermediate,Superband,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Double Kettlebell Bottoms Up Front Rack Reverse Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Front Rack Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Suitcase Walking Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Back Rack Walking Lunge,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Box Pistol Squat,Novice,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Overhead Squat,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Double Kettlebell Bottoms Up Overhead Reverse Lunge,Advanced,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Landmine Goblet Squat,Novice,Landmine,Quadriceps Femoris,Gluteus Maximus,Lower Body
Stability Ball Hamstring Curl,Novice,Stability Ball,Biceps Femoris,Gluteus Maximus,Lower Body
Slider Hamstring Curl,Novice,Sliders,Biceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Hamstring Walkout ,Novice,Bodyweight,Biceps Femoris,Gluteus Maximus,Lower Body
Slider Dumbbell Goblet Reverse Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Dragon Squat,Expert,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Stability Ball Single Leg Hamstring Curl,Intermediate,Stability Ball,Biceps Femoris,Gluteus Maximus,Lower Body
Barbell Single Leg Romanian Deadlift,Intermediate,Barbell,Biceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Suitcase Lateral Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Zombie Walking Lunge,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Overhead Walking Lunge,Expert,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Squat Clean,Expert,Barbell,Quadriceps Femoris,Gluteus Maximus,Full Body
Single Arm Landmine Split Clean to Split Jerk,Expert,Landmine,Anterior Deltoids,Triceps Brachii,Full Body
Single Arm Landmine Hack Squat,Intermediate,Landmine,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Indian Club Lateral Arm Circles,Novice,Indian Club,Lateral Deltoids,,Upper Body
Resistance Band Shoulder Dislocates,Novice,Resistance Band,Posterior Deltoids,Supraspinatus,Upper Body
Suspension Reverse Grip Bicep Curl,Novice,Suspension Trainer,Brachioradialis,Biceps Brachii,Upper Body
Cable Straight Bar Reverse Grip Bicep Curl,Novice,Cable,Brachioradialis,Biceps Brachii,Upper Body
Single Arm Cable Reverse Grip Bicep Curl,Novice,Cable,Brachioradialis,Biceps Brachii,Upper Body
Bar Eccentric Chin Up ,Novice,Pull Up Bar,Biceps Brachii,Latissimus Dorsi,Upper Body
Bar Eccentric Pull Up,Novice,Pull Up Bar,Latissimus Dorsi,,Upper Body
Landmine Half Kneeling Oblique Twist ,Intermediate,Landmine,Obliques,,Core
Single Arm Bar Dead Hang,Novice,Pull Up Bar,Brachioradialis,Latissimus Dorsi,Upper Body
Single Arm Kettlebell Tall Kneeling Overhead Press,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Alternating Double Kettlebell Tall Kneeling Overhead Press,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Alternating Double Kettlebell Half Kneeling Overhead Press,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Stability Ball Single Arm Forearm Plank,Expert,Stability Ball,Rectus Abdominis,,Core
Stability Ball Feet Elevated Single Arm Forearm Plank,Expert,Stability Ball,Rectus Abdominis,,Core
Landmine Zercher Skater Squat,Intermediate,Landmine,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Landmine Front Rack Contralateral Reverse Lunge to Shoulder Press,Intermediate,Landmine,Quadriceps Femoris,Anterior Deltoids,Full Body
Landmine Thruster,Novice,Landmine,Quadriceps Femoris,Anterior Deltoids,Full Body
Landmine Romanian Deadlift,Novice,Landmine,Biceps Femoris,Gluteus Maximus,Lower Body
Single Arm Landmine Single Leg Romanian Deadlift,Intermediate,Landmine,Biceps Femoris,Gluteus Maximus,Lower Body
Landmine Tall Kneeling Oblique Twist,Intermediate,Landmine,Obliques,Rectus Abdominis,Core
Landmine Feet Elevated Russian Twist,Intermediate,Landmine,Obliques,Rectus Abdominis,Core
Single Arm Landmine Thruster,Intermediate,Landmine,Quadriceps Femoris,Anterior Deltoids,Full Body
Double Kettlebell Tall Kneeling Seesaw Overhead Press,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Kettlebell Arm Bar,Novice,Kettlebell,Infraspinatus,Subscapularis,Upper Body
Barbell Power Clean to Overhead Press,Expert,Barbell,Anterior Deltoids,Triceps Brachii,Full Body
Single Arm Suspension Mid Row,Novice,Suspension Trainer,Latissimus Dorsi,,Upper Body
Landmine Zercher Curtsy Lunge,Intermediate,Landmine,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Back Rack Alternating Cossack Squat,Intermediate,Barbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Barbell Front Rack Alternating Cossack Squat,Intermediate,Barbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Slider Double Kettlebell Overhead Lateral Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Dumbbell Goblet Alternating Cossack Squat,Novice,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Bodyweight Alternating Cossack Squat,Beginner,Bodyweight,Quadriceps Femoris,Adductor Magnus,Lower Body
Bodyweight Knee Over Toe Split Squat ,Beginner,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Back Rack Knee Over Toe Split Squat,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Front Rack Knee Over Toe Split Squat,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Overhead Knee Over Toe Split Squat,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
EZ Bar Incline Bench Lying Tricep Extension,Novice,EZ Bar,Triceps Brachii ,,Upper Body
EZ Bar Skull Crusher,Novice,EZ Bar,Triceps Brachii ,Anconeus,Upper Body
Slider Knee Tuck,Novice,Sliders,Rectus Abdominis,,Core
EZ Bar Incline Bench Skull Crusher,Novice,EZ Bar,Triceps Brachii ,Anconeus,Upper Body
EZ Bar Decline Bench Skull Crusher,Novice,EZ Bar,Triceps Brachii ,Anconeus,Upper Body
EZ Bar Front Raise,Novice,EZ Bar,Anterior Deltoids,Pectoralis Major,Upper Body
Suspension Pike,Intermediate,Suspension Trainer,Rectus Abdominis,,Core
Suspension Side Plank Reach Through,Advanced,Suspension Trainer,Obliques,Rectus Abdominis,Core
Bodyweight Cocoon Crunch,Intermediate,Bodyweight,Rectus Abdominis,Iliopsoas,Core
Ab Wheel Standing Rollout,Advanced,Ab Wheel,Rectus Abdominis,Latissimus Dorsi,Core
Cable Fire Hydrant,Novice,Cable,Gluteus Maximus,Gluteus Medius,Lower Body
Cable Tall Kneeling Pull Through,Novice,Cable,Gluteus Maximus,,Lower Body
Stability Ball Bent Knee Reverse Hyperextension,Novice,Stability Ball,Gluteus Maximus,,Lower Body
Bodyweight Bent Knee Reverse Hyperextension,Novice,Bodyweight,Gluteus Maximus,,Lower Body
Parallette Tuck L Sit,Intermediate,Parallette Bars,Rectus Abdominis,,Core
EZ Bar Close Grip Bicep Curl,Novice,EZ Bar,Biceps Brachii,Brachialis,Upper Body
EZ Bar Overhead Press,Novice,EZ Bar,Anterior Deltoids,Triceps Brachii,Upper Body
Parallette Single Leg L Sit,Intermediate,Parallette Bars,Rectus Abdominis,,Core
Stability Ball Bottoms Up,Intermediate,Stability Ball,Rectus Abdominis,,Core
Stability Ball Windshield Wiper,Novice,Stability Ball,Obliques,Rectus Abdominis,Core
Stability Ball Tall Kneeling Balance,Intermediate,Stability Ball,Rectus Abdominis,,Core
Stability Ball Oblique Crunch ,Beginner,Stability Ball,Obliques,Rectus Abdominis,Core
Stability Ball Forearm Plank,Novice,Stability Ball,Rectus Abdominis,,Core
Slider Double Kettlebell Suitcase Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Kettlebell Horn Grip Lateral Lunge,Novice,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Turkish Sit Up,Intermediate,Dumbbell,Rectus Abdominis,Anterior Deltoids,Core
Single Arm Landmine Turkish Sit Up,Intermediate,Landmine,Rectus Abdominis,Anterior Deltoids,Core
Double Kettlebell Front Rack Cyclist Squat,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Turkish Sit Up,Intermediate,Dumbbell,Rectus Abdominis,Anterior Deltoids,Core
Single Arm Kettlebell Front Rack Cyclist Squat,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Overhead Cyclist Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Front Rack Alternating Cossack Squat,Novice,Dumbbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Kettlebell Horn Grip Cyclist Squat,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Bottoms Up Horn Grip Cyclist Squat,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Front Rack Cyclist Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Overhead Cyclist Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Overhead Cyclist Squat,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Front Rack Cyclist Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Overhead Cyclist Squat,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
EZ Bar Seated Overhead Press,Novice,EZ Bar,Anterior Deltoids,Triceps Brachii,Upper Body
EZ Bar Tall Kneeling Overhead Tricep Extension,Novice,EZ Bar,Triceps Brachii ,Anterior Deltoids,Upper Body
EZ Bar Reverse Grip Overhead Press,Novice,EZ Bar,Anterior Deltoids,Triceps Brachii,Upper Body
Double Dumbbell Suitcase Knee Over Toe Split Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
EZ Bar Reverse Grip Seated Overhead Press,Novice,EZ Bar,Anterior Deltoids,Triceps Brachii,Upper Body
EZ Bar Close Grip Bench Press,Novice,EZ Bar,Triceps Brachii,Pectoralis Major,Upper Body
EZ Bar Close Grip Incline Bench Press,Novice,EZ Bar,Triceps Brachii,Pectoralis Major,Upper Body
EZ Bar Close Grip Decline Bench Press,Novice,EZ Bar,Triceps Brachii,Pectoralis Major,Upper Body
Cable Half Kneeling Pallof Press,Novice,Cable,Obliques,Rectus Abdominis,Core
Single Arm Kettlebell Cyclist Thruster,Novice,Kettlebell,Quadriceps Femoris,Anterior Deltoids,Full Body
Double Kettlebell Cyclist Thruster,Novice,Kettlebell,Quadriceps Femoris,Anterior Deltoids,Full Body
Alternating Double Kettlebell Cyclist Thruster,Novice,Kettlebell,Quadriceps Femoris,Anterior Deltoids,Full Body
Single Arm Kettlebell Bottoms Up Cyclist Thruster,Intermediate,Kettlebell,Quadriceps Femoris,Anterior Deltoids,Full Body
Double Kettlebell Bottoms Up Cyclist Thruster,Intermediate,Kettlebell,Quadriceps Femoris,Anterior Deltoids,Full Body
Alternating Double Kettlebell Bottoms Up Cyclist Thruster,Intermediate,Kettlebell,Quadriceps Femoris,Anterior Deltoids,Full Body
Barbell Kneeling Rollout,Intermediate,Barbell,Rectus Abdominis,Latissimus Dorsi,Core
Barbell Reverse Grip Overhead Press,Novice,Barbell,Anterior Deltoids,Triceps Brachii,Upper Body
Barbell Seated Reverse Grip Overhead Press,Novice,Barbell,Anterior Deltoids,Triceps Brachii,Upper Body
Cable Tall Kneeling Pallof Press,Novice,Cable,Obliques,Rectus Abdominis,Core
Tire Sledge Hammer Staggered Stance Slam,Novice,Tire,Obliques,Rectus Abdominis,Upper Body
Tire Macebell Staggered Stance Slam,Novice,Tire,Obliques,Rectus Abdominis,Upper Body
Barbell Hang Power Clean,Intermediate,Barbell,Gluteus Maximus,,Full Body
Landmine Goblet Alternating Cossack Squat,Intermediate,Landmine,Quadriceps Femoris,Adductor Magnus,Lower Body
Landmine Low Hold Alternating Cossack Squat,Intermediate,Landmine,Quadriceps Femoris,Adductor Magnus,Lower Body
Bodyweight Push Up,Novice,Bodyweight,Pectoralis Major,Triceps Brachii,Upper Body
Barbell Close Grip Incline Bench Press,Novice,Barbell,Triceps Brachii,Pectoralis Major,Upper Body
Barbell Close Grip Decline Bench Press,Novice,Barbell,Triceps Brachii,Pectoralis Major,Upper Body
Double Dumbbell Push Press,Novice,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Dumbbell Push Press,Novice,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Alternating Double Dumbbell Push Press,Novice,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Kettlebell Bottoms Up Push Jerk,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Cable Rope Tall Kneeling Overhead Tricep Extension,Novice,Cable,Triceps Brachii ,Anterior Deltoids,Upper Body
Alternating Double Kettlebell Push Jerk,Novice,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Dumbbell Push Jerk,Novice,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Alternating Double Kettlebell Overhead Press,Novice,Kettlebell,Anterior Deltoids,,Upper Body
Single Arm Dumbbell Push Jerk,Novice,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Alternating Double Dumbbell Push Jerk,Novice,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Plate Seated Lu Raise,Novice,Weight Plate,Infraspinatus,Posterior Deltoids,Upper Body
Double Kettlebell Bottoms Up Floor Press,Novice,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Alternating Double Kettlebell Bottoms Up Floor Press,Novice,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Single Arm Kettlebell Bottoms Up Floor Press,Novice,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Trap Bar Bent Over Row,Novice,Trap Bar,Latissimus Dorsi,Rhomboids,Upper Body
Trap Bar Pendlay Row,Novice,Trap Bar,Latissimus Dorsi,,Upper Body
Trap Bar Shrug,Novice,Trap Bar,Upper Trapezius,Levator Scapulae,Upper Body
Bodyweight Tuck L Sit,Advanced,Bodyweight,Rectus Abdominis,,Core
Parallette Straddle L Sit,Advanced,Parallette Bars,Rectus Abdominis,,Core
Ring Turned Out L Sit,Expert,Gymnastic Rings,Rectus Abdominis,,Core
Battle Rope Power Slam,Novice,Battle Ropes,Rectus Abdominis,,Upper Body
Bodyweight Manna ,Grand Master,Bodyweight,Rectus Abdominis,,Full Body
Ring Tuck Back Lever,Advanced,Gymnastic Rings,Rectus Abdominis,,Full Body
Ring Advanced Tuck Back Lever,Advanced,Gymnastic Rings,Rectus Abdominis,,Full Body
Ring Straddle Back Lever,Expert,Gymnastic Rings,Rectus Abdominis,,Full Body
Ring Half Lay Back Lever,Advanced,Gymnastic Rings,Rectus Abdominis,,Full Body
Ring Single Leg Out Back Lever,Advanced,Gymnastic Rings,Rectus Abdominis,,Full Body
Ring Full Back Lever,Expert,Gymnastic Rings,Rectus Abdominis,,Full Body
Trap Bar Floor Press,Novice,Trap Bar,Pectoralis Major,Triceps Brachii,Upper Body
Trap Bar Overhead Press,Novice,Trap Bar,Anterior Deltoids,Triceps Brachii,Upper Body
Ring Handstand Lower to Back Lever,Master,Gymnastic Rings,Rectus Abdominis,,Full Body
Ring Tuck Front Lever,Advanced,Gymnastic Rings,Rectus Abdominis,,Full Body
Ring Advanced Tuck Front Lever,Advanced,Gymnastic Rings,Rectus Abdominis,,Full Body
Ring Straddle Front Lever,Advanced,Gymnastic Rings,Rectus Abdominis,,Full Body
Ring Half Lay Front Lever,Advanced,Gymnastic Rings,Rectus Abdominis,,Full Body
Ring Single Leg Out Front Lever,Advanced,Gymnastic Rings,Rectus Abdominis,,Full Body
Ring Full Front Lever,Expert,Gymnastic Rings,Rectus Abdominis,,Full Body
Ring Front Lever Pull to Inverted Hang,Expert,Gymnastic Rings,Rectus Abdominis,,Full Body
Ring Inverted Hang,Advanced,Gymnastic Rings,Rectus Abdominis,,Full Body
Single Arm Barbell Kneeling Rollout,Advanced,Barbell,Rectus Abdominis,Latissimus Dorsi,Core
Single Arm Barbell Standing Rollout,Expert,Barbell,Rectus Abdominis,Latissimus Dorsi,Core
Ring Circle Front Lever,Expert,Gymnastic Rings,Rectus Abdominis,,Full Body
Trap Bar Tall Kneeling Overhead Press,Novice,Trap Bar,Anterior Deltoids,Triceps Brachii,Upper Body
Trap Bar Bench Press,Novice,Trap Bar,Pectoralis Major,Triceps Brachii,Upper Body
Alternating Double Dumbbell Z Press,Novice,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Dumbbell Half Kneeling Ipsilateral Overhead Press,Novice,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Dumbbell Half Kneeling Overhead Press,Novice,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Dumbbell Tall Kneeling Overhead Press,Novice,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Alternating Double Dumbbell Tall Kneeling Overhead Press,Novice,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Alternating Double Dumbbell Half Kneeling Overhead Press,Novice,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Dumbbell Tall Kneeling Overhead Press,Novice,Dumbbell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Plate Incline Bench Prone Y Raise,Novice,Weight Plate,Posterior Deltoids,,Upper Body
Single Arm Kettlebell Pendlay Row,Novice,Kettlebell,Latissimus Dorsi,Biceps Brachii,Upper Body
